fish_id,name_english,alt_name,name_latin,swim,cm_max,uncare,breeding_difficulty,availability,school,tank_size_liter,temperature_min,temperature_max,agression,origin,region,isfish,phmin,phmax,more,family
102,Black phantom tetra,,Hyphessobrycon megalopterus,2,3.6,3,2,3,3,65,21,28,1,"Bolivia, Brazil,",1,1,6,7.5,1,Characidae
103,Black Neon Tetra,,Hyphessobrycon herbertaxelrodi,2,3.5,4,2,3,3,60,22,28,1,"Brazil,",1,1,5.5,7.5,1,Characidae
104,Black widow tetra,black skirt tetra,Gymnocorymbus ternetzi,2,6,4,2,3,3,75,20,26,2,"Brazil, Bolivia, Argentina,",1,1,6,7.5,1,Characidae
105,Bleeding heart tetra,,Hyphessobrycon erythrostigma,2,6,3,2,2,3,75,21,27,1,"Peru,",1,1,6,7.5,1,Characidae
106,Bloodfin tetra,,Aphyocharax anisitsi,2,5.5,4,2,3,3,75,22,28,2,"Brazil, Paraguay, Argentina,",1,1,6,8,1,Characidae
107,Blue tetra,,Knodus borki,2,5,2,4,3,3,85,22,26,2,"Colombia, Brazil,",1,1,5.5,7,1,Characidae
108,Bucktooth tetra,,Exodon paradoxus,2,12,2,4,2,3,170,23,28,3,"Brazil,",1,1,5.5,7.5,1,Characidae
109,Buenos Aires tetra,,Hyphessobrycon anisitsi,2,7.5,4,2,2,3,95,19,27,2,"Brazil, Paraguay, Argentina,",1,1,6,8,1,Characidae
110,Cardinal tetra,,Paracheirodon axelrodi,2,4.5,3,4,4,3,60,23,29,1,"Brazil,",1,1,5,7,1,Characidae
111,Blind cave tetra,Mexican tetra,Astyanax mexicanus,2,12,3,2,2,2,95,21,25,1,"Mexico,",1,1,6,8,1,Characidae
112,Diamond tetra,,Moenkhausia pittieri,2,6,3,3,3,3,75,24,28,2,"Venezuela,",1,1,6,7.5,1,Characidae
113,Ember tetra,,Hyphessobrycon amandae,2,2,2,2,3,3,35,22,28,1,"Brazil,",1,1,5.5,7,1,Characidae
114,Emperor tetra,,Nematobrycon palmeri,2,5,3,2,3,3,75,23,27,2,"Colombia ,",1,1,5.5,7.5,1,Characidae
115,Flame tetra,,Hyphessobrycon flammeus,2,2.5,3,2,2,3,38,20,26,1,"Brazil,",1,1,5.5,7.5,1,Characidae
116,Garnet tetra,pretty tetra,Hemigrammus pulcher,2,4.5,3,3,2,3,75,23,28,1,"Peru,",1,1,5,7,1,Characidae
117,Glass bloodfin tetra,,Prionobrama filigera,2,6,3,3,3,3,75,23,27,1,South America,1,1,6,7.5,1,Characidae
118,Glowlight tetra,,Hemigrammus erythrozonus,2,4,3,2,2,3,70,24,28,1,"Guyana,",1,1,6,7.5,1,Characidae
120,Green neon tetra,,Paracheirodon simulans,2,2.5,3,3,3,3,55,22,30,1,"Brazil, Venezuela, Colombia,",1,1,5.5,7.5,1,Characidae
121,Head-and-taillight tetra,,Hemigrammus ocellifer,2,4.5,4,2,3,3,65,24,28,1,"The Guianas, Peru, Brazil,",1,1,5.5,7.5,1,Characidae
122,January tetra,costello tetra,Hemigrammus hyanuary,2,4,2,3,2,3,65,23,27,1,"Peru, Brazil,",1,1,5.5,7,1,Characidae
123,Lemon tetra,,Hyphessobrycon pulchripinnis,2,5,3,3,4,3,65,22,28,1,"Brazil,",1,1,6,8,1,Characidae
124,Neon tetra,,Paracheirodon innesi,2,3.75,4,3,4,3,40,21,25,1,"Peru, Colombia, Brazil,",1,1,5,7.5,1,Characidae
125,Ornate tetra,,Hyphessobrycon bentosi,2,4.5,3,3,3,3,75,22,28,1,"Brazil,",1,1,5.5,7.5,1,Characidae
126,Penguin tetra,blackline penguinfish,Thayeria boehlkei,2,6.5,3,2,2,3,75,22,28,1,"Peru, Brazil,",1,1,6,7.5,1,Characidae
127,Red eye tetra,,Moenkhausia sanctaefilomenae,2,7,3,3,3,3,105,22,26,2,"Brazil, Paraguay, Argentina,",1,1,6,7.5,1,Characidae
